"","X","grid","monitoring_period","common_name","Range","Year","GridYear","Dist","AnthroDistPerc","EVI","MFADim1","MFADim2","PCADim1","PCADim2","MFAwLag","PCA1wLagNo","PCA2wLagNo","PCA1wLag1Y","PCA2wLag1Y","MFADim1No2016","MFADim2No2016","MFAD1wLag","MFAD2wLag"
"1",1,"CAL","monitor_2017","White-tailed Deer","WSAR",2017,"CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,3.73105903071735,2.85081299972639,-6.1761516333386,0.902888935517722,-6.12387170336505,1.18438993658332
"2",2,"CHR","monitor_2017","White-tailed Deer","ESAR",2017,"CHR2017",12.1003310810811,95.7464682658615,963.6981328,-0.254525784869995,0.379873197476802,0.493449822550623,-1.48865955622016,0.0124918416893851,0.533928199498187,-0.0809221013858071,2.94658736365779,0.950655031288748,-0.340684321499879,0.353670837100357,0.0124918416893851,0.0966539115617314
"3",3,"DEW","monitor_2017","White-tailed Deer","SK",2017,"DEW2017",12.8122865796374,58.3488517423251,983.7144397,0.35477442861542,-1.90609213590712,0.891025021840012,-3.04018597978049,0.086562832039092,1.32656535169176,-1.14070036717248,3.15956383507623,0.66069416012189,0.46624858229595,-2.10183989338513,0.086562832039092,-2.20693852058421
"4",4,"FMM","monitor_2017","White-tailed Deer","ESAR",2017,"FMM2017",4.88139295774648,89.7117171311496,1367.067669,2.29139271554327,3.13912304961686,-1.50959224777163,-1.29067752783144,2.16559538228799,-1.16189411433928,0.437830875361911,2.05098029630096,-0.00895636183377646,2.16071806624842,3.15554762614795,2.16559538228799,2.62106005516906
"5",5,"LLB","monitor_2017","White-tailed Deer","ESAR",2017,"LLB2017",15.5714458333333,94.3393326752579,1572.4924,-2.2311805977416,0.528225659541379,1.21302223475119,-2.61576103287292,-1.86887962884857,1.18278310165804,-1.60903710433317,3.33640217843072,2.01766582548833,-2.25613533213122,0.60045944884269,-1.86887962884857,0.408370354355706
"6",6,"LRN","monitor_2017","White-tailed Deer","SK",2017,"LRN2017",0.392577981616032,25.3658427876357,788.1068233,2.27554580017575,-2.6453238089885,-0.185216231862219,-3.12284736814527,1.90296559440221,0.459339992448997,-0.969349431074658,1.58910154198554,0.985412522460228,2.44789600332006,-2.82793581586086,1.90296559440221,-2.33138531829438
"7",7,"MAC","monitor_2017","White-tailed Deer","WSAR",2017,"MAC2017",2.77614927536232,66.6807193870131,1502.853763,3.97029227280717,3.37963788102662,-2.11243173495571,-0.788795288784312,3.83848103758744,-1.80753940072795,0.277080238875032,0.797724212231318,0.139895493609521,3.91757859563447,3.48551548881254,3.83848103758744,2.77988033495819
"8",8,"MCC","monitor_2017","White-tailed Deer","SK",2017,"MCC2017",0.0868084357931551,26.7544951028706,1276.694969,3.14651623195217,-0.885173438009082,-0.0497061624241752,-2.5984414944429,2.8155785350533,0.274553798514457,-1.29405747563973,1.53871599936922,-0.235575559841898,3.0975979786523,-1.15805611900661,2.8155785350533,-1.04323411046015
"9",9,"WAB","monitor_2017","White-tailed Deer","WSAR",2017,"WAB2017",3.57799710144928,94.2186016488026,1332.509815,2.11755358350631,3.08865561131076,-1.79667302182933,-0.65199446625096,1.93095167806008,-1.64075780291607,0.111278220595206,1.54701470233144,0.142053994479094,1.92245803562517,3.37548614151805,1.93095167806008,3.18830172007283
"10",10,"CAL","monitor_2018","White-tailed Deer","WSAR",2018,"CAL2018",14.5878569444444,98.7330050155603,1598.475295,-6.14061113549254,1.18551680999229,3.73538560616915,0.311198435848582,-6.12387170336505,2.5097113319363,-1.1292243721104,2.1104069566387,-1.82975716704391,-6.1761516333386,0.902888935517722,-6.12387170336505,1.18438993658332
