,dEVI,Grid,Range
2794,3034.5,AUB,SK
2795,2176.5,AUB,SK
2796,2176.5,AUB,SK
2797,2952.5,AUB,SK
2798,2952.5,AUB,SK
2799,2861,AUB,SK
2800,2861,AUB,SK
2801,2770.5,AUB,SK
2802,2770.5,AUB,SK
2803,2540.5,AUB,SK
2804,2540.5,AUB,SK
2805,2511,AUB,SK
2806,2511,AUB,SK
2807,2457,AUB,SK
2808,2457,AUB,SK
2809,2090,AUB,SK
2810,2090,AUB,SK
2811,1984.5,AUB,SK
2812,1984.5,AUB,SK
2813,1894.5,AUB,SK
2814,1894.5,AUB,SK
2815,2711.5,AUB,SK
2816,2711.5,AUB,SK
2817,2792.5,AUB,SK
2818,2792.5,AUB,SK
2819,2950,AUB,SK
2820,2950,AUB,SK
2821,2854.5,AUB,SK
2822,2854.5,AUB,SK
2823,1985.5,AUB,SK
2824,1985.5,AUB,SK
2825,1591.5,AUB,SK
2826,1591.5,AUB,SK
2827,1507,AUB,SK
2828,1507,AUB,SK
2829,1626,AUB,SK
2830,1626,AUB,SK
2831,1853.5,AUB,SK
2832,1853.5,AUB,SK
2833,1682.5,AUB,SK
2834,1682.5,AUB,SK
2835,1694,AUB,SK
2836,1694,AUB,SK
2837,2381.5,AUB,SK
2838,2381.5,AUB,SK
2839,2902.5,AUB,SK
2840,2902.5,AUB,SK
2841,3780,AUB,SK
2842,3780,AUB,SK
2843,2214,AUB,SK
2844,2214,AUB,SK
2845,3099.5,AUB,SK
2846,3099.5,AUB,SK
2847,2678,AUB,SK
2848,2885.5,AUB,SK
2849,3034.5,AUB,SK
2850,3034.5,AUB,SK
2851,2176.5,AUB,SK
2852,2176.5,AUB,SK
2853,2952.5,AUB,SK
2854,2952.5,AUB,SK
2855,2861,AUB,SK
2856,2861,AUB,SK
2857,2770.5,AUB,SK
2858,2770.5,AUB,SK
2859,2540.5,AUB,SK
2860,2540.5,AUB,SK
2861,2511,AUB,SK
2862,2511,AUB,SK
2863,2457,AUB,SK
2864,2457,AUB,SK
2865,2090,AUB,SK
2866,2090,AUB,SK
2867,1984.5,AUB,SK
2868,1984.5,AUB,SK
2869,1894.5,AUB,SK
2870,1894.5,AUB,SK
2871,2711.5,AUB,SK
