,Grid,Disturbance,Range
218,MAC,3.0731,WSAR
219,MAC,5.4239,WSAR
220,MAC,3.804,WSAR
221,MAC,2.7525,WSAR
222,MAC,0.4404,WSAR
223,MAC,0.4825,WSAR
224,MAC,4.2069,WSAR
225,MAC,3.3013,WSAR
226,MAC,1.152,WSAR
227,MAC,1.7223,WSAR
228,MAC,15.7387,WSAR
229,MAC,18.1853,WSAR
230,MAC,0.5882,WSAR
231,MAC,0.7356,WSAR
232,MAC,1.0641,WSAR
233,MAC,1.6224,WSAR
234,MAC,2.6661,WSAR
235,MAC,3.6452,WSAR
236,MAC,0,WSAR
237,MAC,0,WSAR
238,MAC,0,WSAR
239,MAC,0,WSAR
240,MAC,1.0877,WSAR
241,MAC,1.2826,WSAR
242,MAC,0.6023,WSAR
243,MAC,0.6064,WSAR
244,MAC,4.5957,WSAR
245,MAC,7.891,WSAR
246,MAC,9.8081,WSAR
247,MAC,6.2519,WSAR
248,MAC,9.851,WSAR
249,MAC,8.2503,WSAR
250,MAC,7.269,WSAR
251,MAC,6.4154,WSAR
252,MAC,6.0778,WSAR
253,MAC,16.3651,WSAR
254,MAC,0.989,WSAR
255,MAC,0.5625,WSAR
256,MAC,10.6377,WSAR
257,MAC,2.8898,WSAR
258,MAC,2.7817,WSAR
259,MAC,0.5221,WSAR
260,MAC,1.0275,WSAR
261,MAC,1.1092,WSAR
262,MAC,1.7316,WSAR
263,MAC,1.7718,WSAR
264,MAC,0.7719,WSAR
265,MAC,0,WSAR
266,MAC,0,WSAR
267,MAC,0.6207,WSAR
268,MAC,0.218,WSAR
269,MAC,1.4517,WSAR
270,MAC,0.5816,WSAR
271,MAC,0.6005,WSAR
272,MAC,0.1244,WSAR
273,MAC,4.2803,WSAR
274,MAC,0,WSAR
275,MAC,0,WSAR
276,MAC,0,WSAR
277,MAC,0,WSAR
278,MAC,0,WSAR
279,MAC,0,WSAR
280,MAC,0.6202,WSAR
281,MAC,0.7068,WSAR
282,MAC,0.5965,WSAR
283,MAC,0,WSAR
284,MAC,0,WSAR
285,MAC,0,WSAR
286,MAC,0,WSAR
287,FMM,1.2528,ESAR
288,FMM,3.0771,ESAR
289,FMM,1.0272,ESAR
290,FMM,0.003,ESAR
291,FMM,8.4265,ESAR
292,FMM,9.5511,ESAR
293,FMM,12.2815,ESAR
294,FMM,0,ESAR
295,FMM,1.4011,ESAR
296,FMM,1.2046,ESAR
297,FMM,13.0481,ESAR
298,FMM,21.8544,ESAR
299,FMM,3.129,ESAR
300,FMM,7.9811,ESAR
301,FMM,1.3256,ESAR
302,FMM,1.3038,ESAR
303,FMM,2.2394,ESAR
304,FMM,10.736,ESAR
305,FMM,0.933,ESAR
306,FMM,8.5524,ESAR
307,FMM,1.2637,ESAR
308,FMM,5.6157,ESAR
309,FMM,0.6233,ESAR
310,FMM,0,ESAR
