CentreLat,grid,x_coord,y_coord
54.61584594,AUB,698855.7318,6056407.561
54.6774256,MAL,638088.1645,6061000.46
55.40327105,LRN,713657.4499,6144850.464
55.70062435,DEW,595861.1702,6173818.894
56.17231192,MCC,634837.0623,6227378.88
56.42774179,FMM,465970.3202,6253822.622
56.79653105,MAC,422695.484,6295455.913
56.21484427,WAB,378855.6639,6231712.498
55.46771921,CAL,371507.0606,6148717.449
55.71118031,CHR,525209.2084,6174009.271
55.37328713,LLB,441653.1826,6136715.495
55.13221934,LID,553245.3391,6109826.467
55.57701555,PEL,371946.617,6160880.889
