"","monitoring_period","grid","station","common_name","full_density_km2","Year","GridYear","Dist","AnthroDistPerc","EVI","MFADim1","MFADim2","PCADim1","PCADim2","MFAwLag","PCA1wLagNo","PCA2wLagNo","PCA2wLag1Y","MFADim1No2016","MFADim2No2016","ScaledMFADim1No2016","ScaledEvi","ScaledDirAlt","ScaledPCADim1","ScaledPCADim2","ScaledMFADim2No2016","ScaledBufAlt"
"2","monitor_2017","CAL",100,"White-tailed Deer",0.739777638,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"6","monitor_2017","CAL",76,"White-tailed Deer",0,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"10","monitor_2017","CAL",77,"White-tailed Deer",0,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"14","monitor_2017","CAL",78,"White-tailed Deer",0.275142094,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"18","monitor_2017","CAL",79,"White-tailed Deer",1.680239528,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"22","monitor_2017","CAL",80,"White-tailed Deer",0.161198166,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"26","monitor_2017","CAL",81,"White-tailed Deer",0,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"30","monitor_2017","CAL",82,"White-tailed Deer",0.622925182,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"33","monitor_2017","CAL",83,"White-tailed Deer",0.361439235,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"37","monitor_2017","CAL",84,"White-tailed Deer",0.947754463,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"41","monitor_2017","CAL",85,"White-tailed Deer",5.330612538,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"45","monitor_2017","CAL",86,"White-tailed Deer",1.119433684,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"49","monitor_2017","CAL",87,"White-tailed Deer",0.457229685,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"53","monitor_2017","CAL",88,"White-tailed Deer",2.034101207,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"57","monitor_2017","CAL",89,"White-tailed Deer",0.015815278,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"61","monitor_2017","CAL",90,"White-tailed Deer",0.17530496,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"65","monitor_2017","CAL",91,"White-tailed Deer",0.469747242,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"69","monitor_2017","CAL",92,"White-tailed Deer",0.650277917,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"73","monitor_2017","CAL",93,"White-tailed Deer",1.220436122,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"77","monitor_2017","CAL",94,"White-tailed Deer",0.920502929,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
"81","monitor_2017","CAL",95,"White-tailed Deer",0.740839927,"2017","CAL2017",14.5878569444444,98.7330050155603,1733.351772,-6.14061113549254,1.18551680999229,2.07900688423406,-3.03773016657566,-6.12387170336505,2.1104069566387,-1.82975716704391,2.85081299972639,-6.1761516333386,0.902888935517722,0,0.543552787343579,0.936479695091527,0.819980597104433,0.0149855431609415,0.592060064910881,1
