"","grid","monitoring_period","common_name","occupied","n_deployments","prop_occupied","density_avg","density_lci_0.9","density_uci_0.9","season"
"1","ADE","monitor_2020","White-tailed Deer",6,20,0.3,0.07694872965,0.0158829071732517,0.197898423797566,"summer"
"2","ADE","monitor_2021","White-tailed Deer",4,21,0.19047619047619,0.056505559952381,0.00787349024441593,0.162908071285578,"summer"
"3","AUB","monitor_2019","White-tailed Deer",16,23,0.695652173913043,4.43374360452174,2.11408396665397,7.89972565566248,"summer"
"4","AUB","monitor_2020","White-tailed Deer",19,23,0.826086956521739,2.00694596134783,1.02458359794655,3.3995588923441,"summer"
"5","AUB","monitor_2021","White-tailed Deer",14,18,0.777777777777778,2.81352416316667,1.27610539600342,5.1874344949868,"summer"
"6","CAL","monitor_2017","White-tailed Deer",17,21,0.80952380952381,1.2807546137619,0.726726241999696,2.05084902037507,"summer"
"7","CAL","monitor_2018","White-tailed Deer",19,20,0.95,1.647426997,0.957424135521647,2.56636666413853,"summer"
"8","CAL","monitor_2019","White-tailed Deer",20,23,0.869565217391304,2.14231399926087,1.25356316947413,3.35590322458654,"summer"
"9","CHR","monitor_2017","White-tailed Deer",9,22,0.409090909090909,0.536912713409091,0.142735429876111,1.28266864709805,"summer"
"10","CHR","monitor_2018","White-tailed Deer",12,23,0.521739130434783,0.337110253956522,0.146112389601388,0.62979327274822,"summer"
"11","CHR","monitor_2019","White-tailed Deer",14,23,0.608695652173913,0.657511582086957,0.23241985943688,1.37291464169419,"summer"
"12","CHR","monitor_2020","White-tailed Deer",15,25,0.6,0.93501933544,0.400468850688225,1.75637293776522,"summer"
"13","CHR","monitor_2021","White-tailed Deer",15,24,0.625,1.037099866625,0.458005825107184,1.90263212931932,"summer"
"14","DEW","monitor_2018","White-tailed Deer",11,18,0.611111111111111,0.299744928,0.130536325489997,0.557930275145822,"summer"
"15","DEW","monitor_2019","White-tailed Deer",12,20,0.6,0.8792269713,0.377933791418102,1.65882732269033,"summer"
"16","DEW","monitor_2020","White-tailed Deer",4,8,0.5,0.19746760625,0.0289040038417778,0.576884677847577,"summer"
"17","FMM","monitor_2017","White-tailed Deer",2,22,0.0909090909090909,0.0224429165454545,0,0.0812403425592796,"summer"
"18","FMM","monitor_2018","White-tailed Deer",3,25,0.12,0.00398584488,0.000673953702736353,0.00952970435635084,"summer"
"19","FMM","monitor_2019","White-tailed Deer",4,20,0.2,0.0181713441,0.00491855613564895,0.0361664353174258,"summer"
"20","FMM","monitor_2020","White-tailed Deer",1,24,0.0416666666666667,0.0100988305416667,0.0100988305416667,0.0100988305416667,"summer"
"21","FMM","monitor_2021","White-tailed Deer",1,24,0.0416666666666667,0.00261457141666667,0.00261457141666667,0.00261457141666667,"summer"
"22","LID","monitor_2018","White-tailed Deer",3,18,0.166666666666667,0.164179338277778,0.00505482752896175,0.583092003219534,"summer"
"23","LID","monitor_2019","White-tailed Deer",8,22,0.363636363636364,0.3473567915,0.111778143871541,0.737165258215173,"summer"
"24","LID","monitor_2020","White-tailed Deer",12,23,0.521739130434783,0.254393542869565,0.100254498301017,0.497898640001115,"summer"
"25","LID","monitor_2021","White-tailed Deer",10,23,0.434782608695652,0.201753705217391,0.0919824859656246,0.36071285013331,"summer"
"26","LLB","monitor_2017","White-tailed Deer",15,22,0.681818181818182,1.64147181413636,0.857213596074887,2.74688210568423,"summer"
"27","LLB","monitor_2018","White-tailed Deer",16,23,0.695652173913043,1.3583480883913,0.636497073058111,2.43113594374355,"summer"
"28","LLB","monitor_2019","White-tailed Deer",20,25,0.8,1.18851713148,0.668873934018788,1.90031265307743,"summer"
"29","LLB","monitor_2020","White-tailed Deer",17,23,0.739130434782609,1.4144370713913,0.608934337398517,2.67518136807752,"summer"
"30","LLB","monitor_2021","White-tailed Deer",18,22,0.818181818181818,1.76592649413636,0.928521207982944,2.98390679243045,"summer"
"31","LRN","monitor_2018","White-tailed Deer",7,24,0.291666666666667,0.199270176916667,0.0432874378388349,0.514533472564089,"summer"
"32","LRN","monitor_2019","White-tailed Deer",5,20,0.25,0.27536234125,0.0327216707316116,0.851999106277727,"summer"
"33","LRN","monitor_2020","White-tailed Deer",7,20,0.35,0.1581323422,0.0435973865585876,0.365162008196494,"summer"
"34","LRN","monitor_2021","White-tailed Deer",8,20,0.4,0.3505505844,0.0930351781931192,0.816342618265407,"summer"
"35","MAC","monitor_2017","White-tailed Deer",1,25,0.04,0.0041200568,0.0041200568,0.0041200568,"summer"
"36","MAC","monitor_2018","White-tailed Deer",0,23,0,0,0,0,"summer"
"37","MAC","monitor_2019","White-tailed Deer",5,20,0.25,0.01434845675,0.00405558284437301,0.0312809500099025,"summer"
"38","MAC","monitor_2020","White-tailed Deer",2,22,0.0909090909090909,0.00417347972727273,0,0.0110233735802888,"summer"
"39","MAC","monitor_2021","White-tailed Deer",0,10,0,0,0,0,"summer"
"40","MAL","monitor_2021","White-tailed Deer",10,17,0.588235294117647,1.41310458847059,0.358999112134891,3.47236187404973,"summer"
"41","MCC","monitor_2018","White-tailed Deer",2,24,0.0833333333333333,0.0214906085833333,0,0.0502740940787064,"summer"
"42","MCC","monitor_2019","White-tailed Deer",4,17,0.235294117647059,0.0168496085294118,0.00342730037431183,0.0417046482929801,"summer"
"43","MCC","monitor_2020","White-tailed Deer",4,17,0.235294117647059,0.043893294,0.00536855639993511,0.131753154788162,"summer"
"44","MCC","monitor_2021","White-tailed Deer",2,25,0.08,0.0071872356,0,0.0209485853532615,"summer"
"45","MRG","monitor_2020","White-tailed Deer",2,21,0.0952380952380952,0.00579695247619048,0,0.0190614649693948,"summer"
"46","MRG","monitor_2021","White-tailed Deer",0,15,0,0,0,0,"summer"
"47","PEL","monitor_2020","White-tailed Deer",16,22,0.727272727272727,1.04667453068182,0.473361040836608,1.93467436183454,"summer"
"48","PEL","monitor_2021","White-tailed Deer",10,14,0.714285714285714,1.5032759325,0.516812183130406,3.15394533566774,"summer"
"49","RIC","monitor_2020","White-tailed Deer",2,23,0.0869565217391304,0.00501336886956522,0,0.0129004987604742,"summer"
